subject,course,credits,note
CPSC,110,4,"TODO: STUB DATA. Curated by hand for a few well-known courses only; everything else falls back to the 3-credit default in metadata_provider.py. Not a real UBC catalog."
CPSC,121,4,"TODO: STUB DATA, see note above."
CPSC,210,4,"TODO: STUB DATA, see note above."
CPSC,221,4,"TODO: STUB DATA, see note above."
CPSC,310,4,"TODO: STUB DATA, see note above."
MATH,100,3,"TODO: STUB DATA, see note above."
MATH,101,3,"TODO: STUB DATA, see note above."
MATH,200,3,"TODO: STUB DATA, see note above."
MATH,221,3,"TODO: STUB DATA, see note above."
PHYS,100,3,"TODO: STUB DATA, see note above."
PHYS,101,4,"TODO: STUB DATA, see note above."
CHEM,121,4,"TODO: STUB DATA, see note above."
CHEM,123,3,"TODO: STUB DATA, see note above."
ENGL,110,3,"TODO: STUB DATA, see note above."
BIOL,112,4,"TODO: STUB DATA, see note above."
STAT,200,3,"TODO: STUB DATA, see note above."
ECON,101,3,"TODO: STUB DATA, see note above."
ECON,102,3,"TODO: STUB DATA, see note above."
